"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Model-Based Deep Learning Approach for Self-Learning in Smart Production Systems","S. Yuwono; A. Schwung","Department of Automation Technology and Learning Systems, South Westphalia University of Applied Sciences, Soest, Germany; Department of Automation Technology and Learning Systems, South Westphalia University of Applied Sciences, Soest, Germany","2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA)","12 Oct 2023","2023","","","1","8","In this research, we discuss the impact of combining model-based deep learning and game theory in dynamic games to develop a sample-efficient self-learning methodology for smart production systems. We propose a novel approach, namely Model-Based Game Theory (MBGT), by incorporating model-based deep learning into a successful self-learning strategy of State-based Potential Games. Most of the advanced self-learning approaches are established based on machine learning and artificial intelligence, including reinforcement learning and game-theoretical method. However, because of the iterative behaviour during the learning processes, the learning processes are almost impossible to be conducted directly in a real-world manufacturing environment. One potential approach is to conduct the learning processes using the digital representation of the systems, e.g. the digital twin or simulation. Nonetheless, such representations in industrial settings are not always available and developing a digital representation of a complex system is immensely challenging. Hence, this problem can be solved through model-based learning, in which deep learning models are trained to predict the dynamics of the systems with a small margin of error. Then, the trained models are deployed as virtual environments for the learning processes of the GT-based control policies, instead of learning in the real world. In this study, we implement MBGT to a bulk good system and thoroughly analyse the performances between training in the real system and virtual environment, which eventually turn out to be positive effects.","1946-0759","979-8-3503-3991-8","10.1109/ETFA54631.2023.10275577","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275577","Model-based learning;smart manufacturing;game theory;industrial control;machine learning","Training;Deep learning;Digital representation;Virtual environments;Games;Reinforcement learning;Predictive models","","","","27","IEEE","12 Oct 2023","","","IEEE","IEEE Conferences"
"Network Digital Twins: A Key-Enabler for Zero-Touch Management in Industrial Communication Systems","M. Friesen; S. F. Abedin; M. Gidlund; J. Jasperneite","TH-OWL - inIT, Lemgo, Germany; Mid Sweden University, Sundsvall, Sweden; Mid Sweden University, Sundsvall, Sweden; TH-OWL - inIT, Lemgo, Germany","2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA)","12 Oct 2023","2023","","","1","8","Current industrial communication systems (ICS) are undergoing a transformation, leveraging a multitude of technologies to meet the specific needs of the manufacturing and automation industries. The convergence of these networks into edge, fog, and cloud architectures has enhanced their scalability and facilitated the deployment of advanced data-driven approaches, such as machine learning for optimizing production processes. However, ensuring proper provisioning of network and computation resources, along with delivering quality of service, is increasingly challenging in these complex communication systems. Zero-Touch Management (ZTM) frameworks promise to reduce complexity and minimize dependence on manual configuration by human experts. Successful deployment of such frameworks requires an accurate Network Digital Twin (NDT) of relevant network elements, as autonomous decision-making heavily relies on the quantity and quality of historical and real-time node and link state information provided by the NDT. However, the use of NDTs for ICS and ZTM in particular is still an emerging research topic. This paper therefore proposes a theoretical use-case for an NDT-based ZTM framework to improve resource utilization in cloud-centered networks. It presents a state-of-the-art analysis of recent NDT advances enabling the deployment of related ZTM approaches and discusses associated challenges and future research directions.","1946-0759","979-8-3503-3991-8","10.1109/ETFA54631.2023.10275400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275400","","Cloud computing;Scalability;Industrial communication;Decision making;Computer architecture;Quality of service;Production","","","","73","IEEE","12 Oct 2023","","","IEEE","IEEE Conferences"
"Digital Twin for Machine-Learning-based Vehicle CO2 Emissions Concentration Prediction in Embedded System","D. Tena-Gago; M. AlSelek; J. M. Alcaraz-Calero; Q. Wang","School of Computing, Engineering & Physical Sciences, University of the West of Scotland, Paisley, United Kingdom; School of Computing, Engineering & Physical Sciences, University of the West of Scotland, Paisley, United Kingdom; School of Computing, Engineering & Physical Sciences, University of the West of Scotland, Paisley, United Kingdom; School of Computing, Engineering & Physical Sciences, University of the West of Scotland, Paisley, United Kingdom","2023 International Conference on Applied Electronics (AE)","12 Oct 2023","2023","","","1","6","In this paper, we describe the design, implementation, and installation of a digital twin version of a physical CO2 monitoring system with the aim of democratizing access to affordable CO2 emission measuring and enabling the creation of effective pollutant reduction strategies. The presented digital twin acts as a replacement that enables the measuring of CO2 emissions without the use of a physical sensor. The exhibited work is specifically designed to be installed on a low-powered Micro Controller Unit (MCU), enabling its accessibility to a broader base of users. To this end, an optimized Artificial Neural Network (ANN) model was trained to be capable of predicting CO2 emission concentrations with 87.15% accuracy when performing on the MCU. The ANN model is the result of a compound optimization technique that enhances the speed and accuracy of the model while reducing its computational complexity. The results outline that the implementation of the digital twin is 86.4% less expensive than its physical CO2 counterpart, whilst still providing highly accurate and reliable data.","1805-9597","979-8-3503-3554-5","10.1109/AE58099.2023.10274412","Experiment; CODE; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10274412","ANN, CO  2 ;Embedded systems;Micro controllers","Embedded systems;Computational modeling;Artificial neural networks;Predictive models;Control systems;Digital twins;Pollution measurement","","","","8","IEEE","12 Oct 2023","","","IEEE","IEEE Conferences"
"DTITD: An Intelligent Insider Threat Detection Framework Based on Digital Twin and Self-Attention Based Deep Learning Models","Z. Q. Wang; A. El Saddik","Multimedia Communications Research Laboratory (MCRLab), School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, Canada; Multimedia Communications Research Laboratory (MCRLab), School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, Canada","IEEE Access","19 Oct 2023","2023","11","","114013","114030","Recent statistics and studies show that the loss generated by insider threats is much higher than that generated by external attacks. More and more organizations are investing in or purchasing insider threat detection systems to prevent insider risks. However, the accurate and timely detection of insider threats faces significant challenges. In this study, we proposed an intelligent insider threat detection framework based on Digital Twins and self-attentions based deep learning models. First, this paper introduces insider threats and the challenges in detecting them. Then this paper presents recent related works on solving insider threat detection problems and their limitations. Next, we propose our solutions to address these challenges: building an innovative intelligent insider threat detection framework based on Digital Twin (DT) and self-attention based deep learning models, performing insight analysis of users’ behavior and entities, adopting contextual word embedding techniques using Bidirectional Encoder Representations from Transformers (BERT) model and sentence embedding technique using Generative Pre-trained Transformer 2 (GPT-2) model to perform data augmentation to overcome significant data imbalance, and adopting temporal semantic representation of users’ behaviors to build user behavior time sequences. Subsequently, this study built self-attention-based deep learning models to quickly detect insider threats. This study proposes a simplified transformer model named DistilledTrans and applies the original transformer model, DistilledTrans, BERT + final layer, Robustly Optimized BERT Approach (RoBERTa) + final layer, and a hybrid method combining pre-trained (BERT, RoBERTa) with a Convolutional Neural Network (CNN) or Long Short-term Memory (LSTM) network model to detect insider threats. Finally, this paper presents experimental results on a dense dataset CERT r4.2 and augmented sporadic dataset CERT r6.2, evaluates their performance, and performs a comparison analysis with state-of-the-art models. Promising experimental results show that 1) contextual word embedding insert and substitution predicted by the BERT model, and context embedding sentences predicted by the GPT-2 model are effective data augmentation approaches to address high data imbalance; 2) DistilledTrans trained with sporadic dataset CERT r6.2 augmented by the contextual embedding sentence method predicted by GPT-2, outperforms the state-of-the-art models in terms of all evaluation metrics, including accuracy, precision, recall, F1-score, and Area Under the ROC Curve (AUC). Additionally, its structure is much simpler, and thus training time and computing cost are much less than those of recent models; 3) when trained with the dense dataset CERT r4.2, pre-trained models BERT plus a final layer or RoBERTa plus a final layer can achieve significantly higher performance than the current models with a very little sacrifice of precision. However, complex hybrid methods may not be required.","2169-3536","","10.1109/ACCESS.2023.3324371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10285086","Digital twin;cybersecurity;insider threat;deep learning;transformer;BERT;RoBERTa;GPT-2;data augmentation;artificial intelligence;machine learning;UEBA","Context modeling;Computational modeling;Data models;Behavioral sciences;Transformers;Organizations;Threat assessment;Deep learning;Digital twins;Deep learning;Data augmentation","","","","51","CCBYNCND","13 Oct 2023","","","IEEE","IEEE Journals"
"Digital-Twin Enabled Online Remaining Useful Life Prediction of PEM Fuel Cell","M. Zhang; T. Awotwe; C. Liu; A. Amiri; Y. Xu","College of Engineering and Physical Sciences, Aston University, Birmingham, UK; Department of Engineering, King's College London, London, UK; College of Engineering and Physical Sciences, Aston University, Birmingham, UK; Energy and Bioproducts Research Institute (EBRI), Aston University, Birmingham, UK; College of Engineering and Physical Sciences, Aston University, Birmingham, UK","2023 28th International Conference on Automation and Computing (ICAC)","16 Oct 2023","2023","","","1","6","Developing affordable and efficient methods to utilize hydrogen from renewable sources is a crucial hurdle that must be overcome to achieve a low-carbon economy and industrial decarbonization. One promising solution is the proton exchange membrane fuel cell (PEMFC), which is a commercially attractive fuel cell that can support the implementation of decarbonization techniques for the transport sector. However, the unstable operation and undesired degradation will significantly shorten PEMFC's lifetime, which is a serious barrier to its commercialisation. To tackle this challenge, we propose a digital twin-enabled online remaining useful life prediction method for PEMFC, based on the Long Short-term Memory (LSTM) neural network and the quantile Huber loss (QH-loss). Our approach involves using a digital model that can be learned from a short period of online monitoring data and then used to estimate the remaining useful life (RUL) for upcoming data. By utilizing the proposed digital twin method, we can simulate the performance of the PEMFC in real-time, providing accurate and timely predictions of its RUL. We conducted experiments on PEM fuel cell test rigs, varying the length of the data period used to train our digital twin model. The results of our experiments demonstrate the effectiveness of the proposed method, showing that our approach can accurately predict the remaining useful life of PEMFCs, even when trained with a short period of online monitoring data.","","979-8-3503-3585-9","10.1109/ICAC57885.2023.10275304","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275304","Digital twin;Deep learning;Remaining useful life prediction;Proton exchange membrane fuel cell;Decar-bonization","Degradation;Renewable energy sources;Fuel cells;Training data;Low-carbon economy;Data models;Robustness","","","","15","IEEE","16 Oct 2023","","","IEEE","IEEE Conferences"
"Machine Learning Driven Digital Twin for Industrial Control Black Box System: A Novel Framework and Case Study","M. Siddiqui; G. Kahandawa; H. S. Hewawasam; M. U. Rehman Siddiqi","Institute of Innovation, Science and Sustainability, Federation University, Churchill, Australia; Institute of Innovation, Science and Sustainability, Federation University, Churchill, Australia; Institute of Innovation, Science and Sustainability, Federation University, Churchill, Australia; School of Engineering and Physical Sciences, Aston University, Birmingham, United Kingdom","2023 28th International Conference on Automation and Computing (ICAC)","16 Oct 2023","2023","","","1","6","Industrial control systems are excessively used in advanced manufacturing environments. The lack of information and data regarding the internal workings of certain systems makes virtual modelling for their Digital Twin challenging. As a result, these systems are often classified as “black box“ systems. There is minimal research found on DT models for industrial control black box systems. Therefore, a novel algorithm to model the Digital Twin of the industrial control black box system in the cyber domain has been presented in this paper. Machine Learning techniques were used to develop a high-fidelity Digital Twin model of a black box system. Real-time sensor data were recorded and used to validate the proposed novel algorithm. This paper presents the proposed algorithm's effectiveness in developing a robust Digital Twin model of industrial control back box system.","","979-8-3503-3585-9","10.1109/ICAC57885.2023.10275310","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275310","Industry 4.0;Advanced Manufacturing;Digital Twin;Machine Learning;Industrial Control System","Industries;Electronic equipment;Machine learning algorithms;Industrial control;Flight recording;Machine learning;Artificial neural networks","","","","29","IEEE","16 Oct 2023","","","IEEE","IEEE Conferences"
"Deep Learning-Based Modeling of 5G Core Control Plane for 5G Network Digital Twin","Z. Tao; Y. Guo; G. He; Y. Huang; X. You","Southeast University, Nanjing, China; Purple Mountain Laboratories, Nanjing, China; Purple Mountain Laboratories, Nanjing, China; Southeast University, Nanjing, China; Southeast University, Nanjing, China","IEEE Transactions on Cognitive Communications and Networking","","2023","PP","99","1","1","Digital twin serves as a crucial facilitator in the advancement and implementation of emerging technologies within 5G and beyond networks. However, the intricate structure and diverse functionalities of the existing 5G core network, especially the control plane, present challenges in constructing core network digital twins. In this paper, we propose two novel data-driven architectures for modeling the 5G control plane and implement corresponding deep learning models, namely 5GC-Seq2Seq and 5GC-former, based on the Vanilla Seq2Seq model and Transformer decoder respectively. We also present a solution enabling the interconversion of signaling messages and length-limited vectors to construct a dataset. The experiments are based on 5G core network signaling messages collected by the Spirent C50 network tester, encompassing various procedures such as registration, handover, and PDU sessions. The results show that 5GC-Seq2Seq achieves a 99.997% F1-score (a metric measuring the accuracy of positive samples) in single UE scenarios with a simple structure, but exhibits significantly reduced performance in handling concurrency. In contrast, 5GC-former surpasses 99.999% F1-score while maintaining robust performance under concurrent UE scenarios by constructing a more complex and highly parallel model. These findings validate that our method accurately replicates the principal functionalities of the 5G core network control plane.","2332-7731","","10.1109/TCCN.2023.3324634","National Natural Science Foundation of China(grant numbers:62225107); Major Key Project of Peng Cheng Laboratory(grant numbers:PCL 2021A01-2); National Key R&D Program(grant numbers:2020YFB1806600 and 2022YFB2901601); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286117","Digital twin;5G core;control plane;deep learning;LSTM;transformer","5G mobile communication;Data models;Transformers;Decoding;Uplink;Transformer cores;Programming","","","","","IEEE","16 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Improved Convolutional Neural Network Lung Cancer Classification Detection Method Based on Transfer Learning and Model Compression","L. Fangxing; P. Yaxin; C. Ju; T. T. Toe","Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; School of Economics, Huazhong University of Science and Technology, Wuhan, China; School of Optical and Electronic Information, Huazhong University of Science and Technology, Wuhan, China; NTU Business AI Lab, Nanyang Technological University, Singapore","2023 2nd International Conference on Artificial Intelligence and Computer Information Technology (AICIT)","17 Oct 2023","2023","","","1","7","Lung cancer, one of the most life-threatening malignancies, has witnessed a significant increase in its incidence and mortality rates over the past few decades. Accurate determination of the histological type of lung cancer is crucial for developing appropriate treatment strategies. However, traditional medical imaging analysis, such as magnetic resonance imaging and computed tomography (CT), faces challenges due to sensor noise, patient variations, and pathological states, which may lead to misinterpretation and errors. In this regard, deep learning approaches can assist in rapidly distinguishing different types of lung cancer by learning complex patterns and features from medical imaging data, aiding clinicians in precise diagnosis. This research aims to address the limitations of existing lung cancer classification models, including suboptimal accuracy, slow inference speed, high computational and storage requirements, and vulnerability to overfitting. To achieve this, we propose an improved lung cancer classification and detection method based on deep learning. Our approach leverages transfer learning by utilizing pre-trained models, data augmentation techniques, and model compression methods, including global unstructured pruning and model distillation. Experimental results demonstrate that the teacher model achieves 100% accuracy, recall, precision, and F1-score on the dataset, with a loss of 0.00007575038. The distilled student model, after pruning 55.15% of its parameters, achieves a 52.5% reduction in size. It also attains 100% accuracy, recall, precision, and F1-score, with an average loss of 0.004158932.","","979-8-3503-0295-0","10.1109/AICIT59054.2023.10277752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10277752","Lung cancer;deep learning;transfer learning;model compression;CNN","Deep learning;Computational modeling;Computed tomography;Transfer learning;Lung cancer;Lung;Data augmentation","","","","10","IEEE","17 Oct 2023","","","IEEE","IEEE Conferences"
"Virtual Reality Interactive Training System of Prefabricated Building Based on Internet of Things Technology","K. Sun; S. Li; P. Zhang; X. Deng","Mechanical & Electrical Engineering College, Zaozhuang Vocational College of Science and Technology, Tengzhou; Technology Department, Shandong Yingxian Information Technology Co., Ltd, Weifang; Mechanical & Electrical Engineering College, Zaozhuang Vocational College of Science and Technology, Tengzhou; Mechanical & Electrical Engineering College, Zaozhuang Vocational College of Science and Technology, Tengzhou","2023 2nd International Conference on Artificial Intelligence and Computer Information Technology (AICIT)","17 Oct 2023","2023","","","1","4","This paper based on the digital twin concept, relying on the Unity 3D platform, comprehensively uses the Internet of Things technology, Internet technology, cloud services and other means to link the physical physical scene of Prefabricated building construction training with the three-dimensional digital virtual scene in real time, virtual and real interaction, real-time synchronous intelligent perception, detection and feedback of the training process, and integrate teaching, training and evaluation. The system enable trainees to conduct theoretical learning and practical training in both virtual and real scenarios, efficiently completing teaching, training, and evaluation objectives.","","979-8-3503-0295-0","10.1109/AICIT59054.2023.10277776","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10277776","component;Prefabricated building;Practical training system;Internet of Things;Virtual and real interaction","Training;Human computer interaction;Prefabricated construction;Three-dimensional displays;Process control;Virtual environments;Production","","","","4","IEEE","17 Oct 2023","","","IEEE","IEEE Conferences"
"Digital Twin and Artificial Intelligence-Empowered Panoramic Video Streaming: Reducing Transmission Latency in the Extended Reality-Assisted Vehicular Metaverse","S. Li; X. Lin; J. Wu; W. Zhang; J. Li","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China; Graduate School of Information, Production, and Systems, Waseda University, Fukuoka, Japan; Unity Zero, Shanghai, China; School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China","IEEE Vehicular Technology Magazine","28 Dec 2023","2023","18","4","56","65","The vehicular metaverse is expected to provide a widely connected virtual Internet of Vehicles (IoV), where extended reality (XR) is one of the critical infrastructures. However, the combination of XR and automated vehicle (AV) networks brings several significant challenges, e.g., low-latency XR panoramic video transmission, high bandwidth, and the high mobility of vehicles. This article introduces digital twin (DT) and artificial intelligence (AI)-empowered panoramic video streaming for XR-assisted connected AVs to reduce transmission latency and intelligently respond to user requirements. Specifically, we propose a DT-enabled distributed XR service management framework to provide low-latency and smooth XR services across different domains in the vehicular metaverse. In addition, we present a case study on XR streaming-based virtualized resource allocation and propose a novel deep reinforcement learning (DRL)-based method to minimize transmission latency. Quantitative experimental results demonstrate that the positive role of AI in connected AV networks can be enhanced by DTs. Finally, open issues and potential research directions for the XR-assisted vehicular metaverse are discussed.","1556-6080","","10.1109/MVT.2023.3321172","National Natural Science Foundation of China(grant numbers:NSFC 62202302,U21B2019,U20B2048); Science and Technology Commission of Shanghai(grant numbers:22511101202); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286997","","Streaming media;X reality;Metaverse;Real-time systems;Task analysis;Graphics;Resource management;Autonomous vehicles;Digital twins;Artificial intelligence;Internet of Vehicles","","","","15","IEEE","17 Oct 2023","","","IEEE","IEEE Magazines"
"Resilient Production Control Using Digital Twins in the Industrial Internet of Things","I. U. Din; K. A. Awan; A. Almogren; J. J. P. C. Rodrigues","Department of Information Technology, The University of Haripur, Pakistan; Department of Information Technology, The University of Haripur, Pakistan; Department of Computer Science, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Computer Science, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia","IEEE Transactions on Consumer Electronics","","2023","PP","99","1","1","Through the development of digital twins, the Industrial Internet of Things (IIoT) has fundamentally changed how the physical and digital worlds are integrated. The purpose of this study is to examine how digital twins can improve production control in smart consumer electronics factories. In particular, the study examines how well digital twins work as a production control tool and suggests a novel strategy that combines real-time data, sophisticated analytics, and predictive capabilities. The proposed method uses a digital twin-based methodology to model and simulate the behavior of the production system in real-time, enabling the early identification of potential problems and proactive decision-making. The proposed method optimizes resource utilization, lowers energy consumption, and adapts to changing conditions by using cutting-edge algorithms and machine-learning techniques. However, existing approaches face limitations in energy efficiency, scalability, reliability, robustness, cost-effectiveness, and interoperability. Addressing these challenges is essential to advance production control in smart consumer electronics factories.","1558-4127","","10.1109/TCE.2023.3325209","King Saud University(grant numbers:Distinguished Scientist Fellowship Program (DSFP)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10287143","Industrial Internet of Things;Digital twins;Production control;Consumer electronics factories;Game Theory","Digital twins;Industrial Internet of Things;Games;Security;Production;Cost function;Control systems","","","","","IEEE","17 Oct 2023","","","IEEE","IEEE Early Access Articles"
"Optimized Task Scheduling and Virtual Object Management Based on Digital Twin for Distributed Edge Computing Networks","R. Xu; C. -W. Park; S. Khan; W. Jin; S. J. S. Moe; D. H. Kim","Big Data Research Center, Jeju National University, Jeju, Republic of Korea; Autonomous IoT Research Section, Electronics and Telecommunications Research Institute, Daejeon, South Korea; Big Data Research Center, Jeju National University, Jeju, Republic of Korea; Department of Electronic and Communication Engineering, Yanbian University, Jilin, Yanji, China; Department of Computer Engineering, Jeju National University, Jeju, South Korea; Department of Computer Engineering, Jeju National University, Jeju, South Korea","IEEE Access","25 Oct 2023","2023","11","","114790","114810","In this paper, we address the challenge of limited resources in Internet of Things (IoT) devices by proposing a solution based on digital twin in distributed edge computing networks. Edge computing is a promising approach that moves computing resources closer to the network’s edge to reduce response times in IoT applications. However, simply offloading tasks from IoT devices to edge computing does not accelerate user control. To enhance task performance and improve user management experience, we introduce optimized task scheduling and virtual object management based on a digital twin concept. Our system incorporates virtualization, synchronization, visualization, and simulation functionalities to provide digital twin capabilities. Additionally, we develop a user-friendly web application with a graphical user interface (GUI) for intuitive management of edge computing services. To support our approach, we implement an edge computing supervisor that generates virtualized objects such as edge gateways, IoT devices, and services. These virtual objects serve as resources for creating tasks. Using our proposed digital twin platform, users can dynamically create new tasks based on demand, easily deploy and execute tasks in specific locations, and dynamically allocate edge network resources according to task requirements. An optimized task scheduling mathematical model is presented to compare task scheduling done with and without optimization. Further, the edge computing and digital twin based optimized task scheduling method is integrated with Federated Learning for collaborative learning and privacy preserved computation of sensors sensitive data. We demonstrate the effectiveness of our system by generating tasks for data collection related to indoor environment for prediction of Predicted Mean Vote (PMV) for thermal comfort index of smart homes occupants using HTTP and IoTivity-based devices in distributed edge computing networks. These tasks are properly delivered and executed on the expected edge gateways, showcasing the successful integration of our digital twin platform with edge computing networks. Further, the optimized task scheduling has improved the overall performance of the proposed system, keeping in view latency and processing time.","2169-3536","","10.1109/ACCESS.2023.3325475","Institute of Information & communications Technology Planning & Evaluation (IITP) grant funded by the Korea government (MSIT)(grant numbers:2022-0-00438); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10287327","Internet of Things;edge computing;federated learning;digital twin;task management;hyper-parameter optimization","Digital twins;Task analysis;Edge computing;Internet of Things;Logic gates;Federated learning;Processor scheduling","","","","36","CCBYNCND","18 Oct 2023","","","IEEE","IEEE Journals"
"A Model Compression Method Using Significant Data and Knowledge Distillation","F. Zhang; B. Xu; K. Cui","Zhejiang University, ZhouShan, China; Nanjing Tech University, NanJing, China; Nanjing Tech University, NanJing, China","2023 IEEE International Performance, Computing, and Communications Conference (IPCCC)","18 Oct 2023","2023","","","481","487","With the emergence of complex neural network models, the running cost of the models shows an increasing trend, while the larger the model, the exponential increase in training cost. Therefore, this paper proposes a method to compress the model of Convolutional Neural Network (CNN) by combining data selection and knowledge distillation, so that the performance of the original model can be maintained with low computational cost. (1) For data selection, we propose an algorithm to rank the importance of training data based on influence scores, and select some training data with greater improvement in model performance as the new training data set based on the ranking results. (2) A knowledge distillation method with low data volume is proposed to input some important training data into the teacher model to generate knowledge to guide the training of the student model, so as to reduce the model running cost while maintaining the model performance of the teacher model, and such a method can also availably avoid the overfitting phenomenon when the data volume is too small. By compressing both the data and the model, the training and running costs of the model can be effectively reduced.","2374-9628","979-8-3503-0293-6","10.1109/IPCCC59175.2023.10253832","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253832","Deep learning;Model compression;Knowledge distillation;Data selection;Important knowledge","Training;Knowledge engineering;Solid modeling;Costs;Computational modeling;Redundancy;Training data","","","","20","IEEE","18 Oct 2023","","","IEEE","IEEE Conferences"
"Deep Dynamic Layout Optimization of Photogrammetry Camera Position Based on Digital Twin","L. Wang; Z. Wang; P. Kendall; K. Gumma; A. Turner; S. Ratchev","Centre for Aerospace Manufacturing, University of Nottingham, Nottingham, U.K.; Centre for Aerospace Manufacturing, University of Nottingham, Nottingham, U.K.; Centre for Aerospace Manufacturing, University of Nottingham, Nottingham, U.K.; Centre for Aerospace Manufacturing, University of Nottingham, Nottingham, U.K.; Centre for Aerospace Manufacturing, University of Nottingham, Nottingham, U.K.; Centre for Aerospace Manufacturing, University of Nottingham, Nottingham, U.K.","IEEE Transactions on Automation Science and Engineering","","2023","PP","99","1","14","The photogrammetry system has been widely used in industrial manufacturing applications, such as high-precision assembly, reverse engineering and additive manufacturing. In order to meet the demand of the product variety and short product lifecycle, the factory facilities including photogrammetry devices, should be relocated in response to rapid change in mechanical structure and hardware integration. Nevertheless, the camera position of the photogrammetry system is difficult to select to guarantee an optimal field of view (FoV) coverage of retro-reflective targets during the whole production horizon. Especially in a reconfigurable manufacturing work cell, scaling and calibration of a photogrammetry system requires professional skills and these would cost tremendous labour for rapid configuration each time. In this paper, we propose a novel deep optimisation framework for the photogrammetry camera position for the dynamic layout design based on digital twin. The optimisation framework follows an effective coarse-to-fine procedure to evaluate the FoV visibility over the target frame. In addition, the deep Q-learning algorithm is utilised to find the maximum FoV coverage and avoid collision. Three experiments are implemented to verify the application feasibility of the proposed deep camera position optimisation framework. Note to Practitioners—Large-volume in-process metrology is an essential element in flexible manufacturing systems. Quality of large-volume measurement relies heavily on target visibility within its field of view. In a compact industrial robotic cell, this is extremely challenging as the robot would take the primary position and causing view blockage throughout its operation. This makes the simultaneous monitoring of robot head and the work piece key feature extremely difficult. Manual trial-and-error positioning approach is lengthy and requires high level of expertise, due to both safety and spatial concerns. We approached this problem by simulating the camera’s view in a digital twin environment and maximising the target visibility throughout the full operation cycle. The generic framework can provide guidance in metrology setup within automated manufacturing environment, accelerate the system commissioning time, remove dependency of skill level and expand the capability for flexible/reconfigurable manufacturing systems. Although V-STARS camera are used in this application, the framework can be applied for other types of vision systems that requires field of view.","1558-3783","","10.1109/TASE.2023.3323088","Innovate U(grant numbers:0000DONOTUSETHIS0000.K,113235); Made Smarter Innovation—Research Centre for Connected Factories(grant numbers:EP/V062123/1); GKN Aerospace Ltd.; Nicolas Tanala; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10287916","Photogrammetry system;field of view;dynamic layout optimization;deep reinforcement learning;digital twin","Cameras;Digital twins;Optimization;Manufacturing;Layout;Production;Position measurement","","","","","IEEE","18 Oct 2023","","","IEEE","IEEE Early Access Articles"
"A Light-Weight Deep Learning Model for Remote Sensing Image Classification","L. Pham; C. Le; D. Ngo; A. Nguyen; J. Lampert; A. Schindler; I. McLoughlin","Austrian Institute of Technology, Vienna, Austria; HCM University of Technology, HCM, VietNam; University of Essex, Colchester, UK; FPT Soft Company, HCM, VietNam; Austrian Institute of Technology, Vienna, Austria; Austrian Institute of Technology, Vienna, Austria; Singapore Institute of Technology, Singapore","2023 International Symposium on Image and Signal Processing and Analysis (ISPA)","19 Oct 2023","2023","","","1","6","In this paper, we present a high-performance and light-weight deep learning model for Remote Sensing Image Classification (RSIC), the task of identifying the aerial scene of a remote sensing image. To this end, we first evaluate various benchmark convolutional neural network (CNN) architectures: MobileNet V1/V2, ResNet 50/151V2, InceptionV3/InceptionResNetV2, EfficientNet B0/B7, DenseNet 121/201, ConNeXt Tiny/Large. Then, the best performing models are selected to train a compact model in a teacher-student arrangement. The knowledge distillation from the teacher aims to achieve high performance with significantly reduced complexity. By conducting extensive experiments on the NWPU-RESISC45 benchmark, our proposed teacher and student models outper-forms the state-of-the-art systems, and has potential to be applied on a wide range of edge devices.","1849-2266","979-8-3503-1536-3","10.1109/ISPA58351.2023.10279679","Austrian Research Promotion Agency (FFG); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10279679","Teacher-student model;convolutional neural network (CNN);data augmentation;high-level features","Deep learning;Analytical models;Image edge detection;Computational modeling;Benchmark testing;Complexity theory;Convolutional neural networks","","","","43","IEEE","19 Oct 2023","","","IEEE","IEEE Conferences"
